Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-04,124.07,126.16,123.85,125.89,75087300,0,0
2021-06-07,126.17,126.32,124.83,125.9,71057600,0,0
2021-06-08,126.6,128.46,126.21,126.74,74403800,0,0
2021-06-09,127.21,127.75,126.52,127.13,56877900,0,0
2021-06-10,127.02,128.19,125.94,126.11,71186400,0,0
2021-06-11,126.53,127.44,126.1,127.35,53415300,0,0
2021-06-14,127.82,130.54,127.07,130.48,96906500,0,0
2021-06-15,129.94,130.6,129.39,129.64,62746300,0,0
2021-06-16,130.37,130.89,128.46,130.15,91657900,0,0
2021-06-17,129.8,131.88,129.65,131.5,21832833,0,0
